"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","J.D","D.N","DJF","MAM","JJA","SON","Period"
1880,-0.39,-0.54,-0.24,-0.31,-0.06,-0.19,-0.23,-0.28,-0.26,-0.32,-0.46,-0.43,-0.31,NA,NA,-0.2,-0.23,-0.35,NA
1881,-0.32,-0.26,-0.07,-0.04,0.02,-0.35,0.08,-0.07,-0.29,-0.45,-0.38,-0.25,-0.2,-0.21,-0.34,-0.03,-0.11,-0.38,NA
1882,0.24,0.2,0.01,-0.31,-0.24,-0.3,-0.29,-0.17,-0.26,-0.53,-0.35,-0.7,-0.23,-0.19,0.06,-0.18,-0.25,-0.38,NA
1883,-0.59,-0.67,-0.16,-0.3,-0.26,-0.12,-0.07,-0.24,-0.35,-0.17,-0.45,-0.16,-0.29,-0.34,-0.65,-0.24,-0.14,-0.32,NA
1884,-0.17,-0.11,-0.64,-0.6,-0.36,-0.42,-0.41,-0.52,-0.45,-0.45,-0.58,-0.48,-0.43,-0.41,-0.15,-0.53,-0.45,-0.5,NA
1885,-1.02,-0.46,-0.24,-0.5,-0.59,-0.46,-0.35,-0.42,-0.4,-0.37,-0.38,-0.12,-0.44,-0.47,-0.65,-0.44,-0.41,-0.39,NA
1886,-0.75,-0.84,-0.71,-0.37,-0.34,-0.38,-0.15,-0.44,-0.34,-0.32,-0.41,-0.22,-0.44,-0.43,-0.57,-0.47,-0.32,-0.36,NA
1887,-1.09,-0.71,-0.45,-0.39,-0.27,-0.22,-0.26,-0.56,-0.22,-0.5,-0.28,-0.44,-0.45,-0.43,-0.67,-0.37,-0.35,-0.33,NA
1888,-0.49,-0.62,-0.64,-0.23,-0.16,-0.04,-0.01,-0.22,-0.2,-0.04,-0.02,-0.24,-0.24,-0.26,-0.52,-0.34,-0.09,-0.09,NA
1889,-0.29,0.28,-0.03,0.15,-0.05,-0.08,-0.08,-0.22,-0.31,-0.42,-0.62,-0.55,-0.18,-0.16,-0.08,0.03,-0.13,-0.45,NA
1890,-0.65,-0.58,-0.48,-0.26,-0.37,-0.17,-0.25,-0.4,-0.36,-0.11,-0.64,-0.48,-0.4,-0.4,-0.59,-0.37,-0.27,-0.37,NA
1891,-0.47,-0.67,-0.16,-0.36,-0.16,-0.14,-0.13,-0.13,-0.09,-0.28,-0.53,-0.02,-0.26,-0.3,-0.54,-0.23,-0.13,-0.3,NA
1892,-0.51,-0.19,-0.67,-0.46,-0.24,-0.06,-0.39,-0.34,-0.22,-0.28,-0.83,-0.68,-0.4,-0.35,-0.24,-0.45,-0.26,-0.44,NA
1893,-1.52,-0.97,-0.33,-0.31,-0.44,-0.19,-0.15,-0.35,-0.3,-0.29,-0.34,-0.62,-0.48,-0.49,-1.05,-0.36,-0.23,-0.31,NA
1894,-0.93,-0.43,-0.22,-0.55,-0.27,-0.42,-0.21,-0.27,-0.33,-0.28,-0.49,-0.37,-0.4,-0.42,-0.66,-0.34,-0.3,-0.37,NA
1895,-0.71,-0.81,-0.5,-0.2,-0.31,-0.21,-0.2,-0.28,-0.07,-0.1,-0.14,-0.24,-0.32,-0.33,-0.63,-0.34,-0.23,-0.1,NA
1896,-0.37,-0.19,-0.5,-0.61,-0.17,0.07,-0.01,-0.12,-0.13,0.04,-0.21,-0.22,-0.2,-0.2,-0.27,-0.43,-0.02,-0.1,NA
1897,-0.41,-0.42,-0.4,-0.06,0.12,-0.07,0.03,-0.07,-0.07,-0.16,-0.26,-0.3,-0.17,-0.17,-0.35,-0.11,-0.04,-0.16,NA
1898,0.03,-0.45,-0.8,-0.29,-0.29,-0.1,-0.13,-0.19,-0.19,-0.37,-0.51,-0.28,-0.3,-0.3,-0.24,-0.46,-0.14,-0.36,NA
1899,-0.14,-0.65,-0.6,-0.23,-0.25,-0.36,-0.18,-0.07,-0.05,0.04,0.35,-0.48,-0.22,-0.2,-0.36,-0.36,-0.2,0.11,NA
1900,-0.63,-0.15,0.04,-0.11,-0.05,-0.11,-0.13,-0.1,-0.04,0.22,-0.13,-0.04,-0.1,-0.14,-0.42,-0.04,-0.11,0.01,NA
1901,-0.35,-0.11,0.26,0.1,-0.12,0,0,-0.17,-0.29,-0.33,-0.21,-0.41,-0.14,-0.1,-0.17,0.08,-0.06,-0.27,NA
1902,-0.14,-0.04,-0.39,-0.38,-0.41,-0.42,-0.34,-0.3,-0.34,-0.33,-0.48,-0.62,-0.35,-0.33,-0.2,-0.4,-0.35,-0.38,NA
1903,-0.24,0.1,-0.18,-0.47,-0.44,-0.47,-0.44,-0.57,-0.5,-0.47,-0.42,-0.58,-0.39,-0.39,-0.25,-0.36,-0.49,-0.46,NA
1904,-0.78,-0.62,-0.47,-0.51,-0.45,-0.49,-0.6,-0.55,-0.64,-0.4,-0.1,-0.36,-0.5,-0.52,-0.66,-0.48,-0.55,-0.38,NA
1905,-0.43,-0.83,-0.24,-0.47,-0.3,-0.29,-0.23,-0.24,-0.2,-0.28,0.08,-0.18,-0.3,-0.32,-0.54,-0.33,-0.25,-0.13,NA
1906,-0.56,-0.51,-0.19,0.04,-0.25,-0.11,-0.27,-0.16,-0.25,-0.18,-0.4,0.04,-0.23,-0.25,-0.41,-0.13,-0.18,-0.27,NA
1907,-0.58,-0.7,-0.29,-0.44,-0.59,-0.52,-0.42,-0.39,-0.41,-0.2,-0.56,-0.59,-0.47,-0.42,-0.41,-0.44,-0.44,-0.39,NA
1908,-0.55,-0.28,-0.72,-0.48,-0.29,-0.31,-0.37,-0.58,-0.32,-0.46,-0.64,-0.56,-0.46,-0.46,-0.47,-0.5,-0.42,-0.47,NA
1909,-0.96,-0.46,-0.68,-0.66,-0.5,-0.53,-0.46,-0.37,-0.39,-0.36,-0.13,-0.58,-0.51,-0.5,-0.66,-0.61,-0.45,-0.29,NA
1910,-0.37,-0.39,-0.5,-0.42,-0.32,-0.46,-0.4,-0.41,-0.44,-0.32,-0.62,-0.82,-0.45,-0.43,-0.45,-0.41,-0.42,-0.46,NA
1911,-0.71,-0.59,-0.63,-0.46,-0.46,-0.35,-0.39,-0.44,-0.39,-0.2,-0.2,-0.31,-0.43,-0.47,-0.71,-0.52,-0.39,-0.26,NA
1912,-0.36,-0.17,-0.61,-0.17,-0.14,-0.14,-0.53,-0.78,-0.81,-0.86,-0.52,-0.58,-0.47,-0.45,-0.28,-0.3,-0.48,-0.73,NA
1913,-0.58,-0.65,-0.48,-0.51,-0.56,-0.5,-0.53,-0.48,-0.43,-0.4,-0.15,0.1,-0.43,-0.49,-0.6,-0.51,-0.5,-0.33,NA
1914,0.16,-0.11,-0.36,-0.39,-0.19,-0.24,-0.35,-0.29,-0.3,-0.01,-0.23,-0.07,-0.2,-0.18,0.05,-0.32,-0.29,-0.18,NA
1915,-0.28,-0.1,-0.25,0.07,-0.01,-0.13,-0.1,-0.17,-0.21,-0.27,-0.04,-0.25,-0.15,-0.13,-0.15,-0.06,-0.13,-0.18,NA
1916,-0.11,-0.17,-0.39,-0.35,-0.38,-0.51,-0.35,-0.38,-0.49,-0.36,-0.47,-1.14,-0.43,-0.35,-0.18,-0.38,-0.41,-0.44,NA
1917,-0.53,-0.69,-0.75,-0.64,-0.74,-0.5,-0.33,-0.41,-0.32,-0.64,-0.33,-1.07,-0.58,-0.58,-0.78,-0.71,-0.41,-0.43,NA
1918,-0.71,-0.47,-0.26,-0.6,-0.5,-0.46,-0.35,-0.38,-0.26,-0.06,-0.23,-0.57,-0.4,-0.45,-0.75,-0.45,-0.4,-0.18,NA
1919,-0.39,-0.4,-0.38,-0.25,-0.43,-0.4,-0.34,-0.31,-0.2,-0.1,-0.48,-0.57,-0.35,-0.35,-0.45,-0.35,-0.35,-0.26,NA
1920,-0.16,-0.3,0,-0.21,-0.22,-0.26,-0.26,-0.32,-0.36,-0.4,-0.46,-0.72,-0.31,-0.29,-0.34,-0.14,-0.28,-0.41,NA
1921,0.17,-0.09,-0.12,-0.17,-0.25,-0.15,-0.04,-0.3,-0.19,-0.01,-0.12,-0.14,-0.12,-0.17,-0.22,-0.18,-0.16,-0.1,"1921-1950"
1922,-0.4,-0.64,-0.11,-0.17,-0.19,-0.16,-0.28,-0.37,-0.43,-0.31,-0.13,-0.17,-0.28,-0.28,-0.39,-0.15,-0.27,-0.29,"1921-1950"
1923,-0.17,-0.47,-0.4,-0.54,-0.4,-0.25,-0.3,-0.3,-0.18,0.06,0.16,0.11,-0.22,-0.25,-0.27,-0.44,-0.28,0.01,"1921-1950"
1924,-0.27,-0.2,0.02,-0.26,-0.07,-0.2,-0.23,-0.28,-0.23,-0.24,0.11,-0.37,-0.19,-0.15,-0.12,-0.1,-0.24,-0.12,"1921-1950"
1925,-0.27,-0.36,-0.22,-0.16,-0.22,-0.27,-0.27,-0.21,-0.06,-0.1,0.23,0.23,-0.14,-0.19,-0.34,-0.2,-0.25,0.02,"1921-1950"
1926,0.54,0.19,0.38,-0.13,-0.22,-0.21,-0.2,-0.07,-0.03,0.06,0.16,-0.3,0.01,0.06,0.32,0.01,-0.16,0.06,"1921-1950"
1927,-0.29,-0.08,-0.47,-0.27,-0.14,-0.14,-0.09,-0.17,0.02,0.25,0.11,-0.37,-0.14,-0.13,-0.22,-0.29,-0.13,0.13,"1921-1950"
1928,0.25,0.07,-0.23,-0.31,-0.17,-0.32,-0.11,-0.19,-0.15,-0.09,0.03,-0.04,-0.11,-0.13,-0.02,-0.24,-0.21,-0.07,"1921-1950"
1929,-0.56,-0.79,-0.19,-0.35,-0.27,-0.39,-0.36,-0.21,-0.22,-0.02,-0.04,-0.67,-0.34,-0.29,-0.46,-0.27,-0.32,-0.09,"1921-1950"
1930,-0.13,-0.18,0.12,-0.14,-0.19,-0.11,-0.03,0.02,-0.02,0.02,0.44,0.08,-0.01,-0.07,-0.33,-0.07,-0.04,0.15,"1921-1950"
1931,0,-0.23,-0.06,-0.2,-0.14,0.15,0.08,0.09,0.18,0.37,0.26,0.1,0.05,0.05,-0.05,-0.13,0.1,0.27,"1921-1950"
1932,0.38,-0.18,-0.21,0.1,-0.1,-0.14,-0.14,-0.07,0.11,0.14,-0.32,-0.22,-0.05,-0.03,0.1,-0.07,-0.12,-0.02,"1921-1950"
1933,-0.18,-0.3,-0.31,-0.17,-0.25,-0.31,-0.13,-0.14,-0.28,-0.16,-0.23,-0.54,-0.25,-0.22,-0.23,-0.24,-0.19,-0.22,"1921-1950"
1934,-0.13,0.33,-0.26,-0.28,0.08,-0.02,-0.04,-0.1,-0.14,0.13,0.27,0.17,0,-0.06,-0.11,-0.15,-0.05,0.09,"1921-1950"
1935,-0.41,0.57,0.04,-0.35,-0.28,-0.14,-0.04,-0.07,-0.05,0.12,-0.31,-0.17,-0.09,-0.06,0.11,-0.2,-0.08,-0.08,"1921-1950"
1936,-0.29,-0.49,-0.12,-0.05,0,0.04,0.08,0.02,0.06,0.08,0.15,0.14,-0.03,-0.06,-0.31,-0.05,0.05,0.1,"1921-1950"
1937,0.08,0.24,-0.23,-0.06,0.12,0.15,0.15,0.16,0.28,0.33,0.24,-0.01,0.12,0.13,0.16,-0.06,0.15,0.28,"1921-1950"
1938,0.35,0.28,0.34,0.31,0.03,-0.07,-0.02,0.08,0.15,0.31,0.3,-0.13,0.16,0.17,0.21,0.23,0,0.25,"1921-1950"
1939,0.03,-0.01,-0.24,-0.09,0.01,0,0.05,0.08,0.12,0.07,0.25,0.77,0.09,0.01,-0.04,-0.11,0.04,0.15,"1921-1950"
1940,-0.11,0.14,0.03,0.28,0.16,0.16,0.15,0.06,0.26,0.28,0.3,0.35,0.17,0.21,0.27,0.15,0.13,0.28,"1921-1950"
1941,0.17,0.46,0.12,0.12,0.23,0.21,0.25,0.19,0.1,0.5,0.18,0.19,0.23,0.24,0.33,0.16,0.21,0.26,"1921-1950"
1942,0.4,-0.09,0,0.09,0.16,0.1,-0.01,-0.08,0.1,0.28,0.25,0.26,0.12,0.12,0.16,0.08,0,0.21,"1921-1950"
1943,-0.09,0.38,-0.01,0.31,0.23,-0.07,-0.02,0.1,0.13,0.46,0.36,0.37,0.18,0.17,0.18,0.18,0,0.32,"1921-1950"
1944,0.62,0.43,0.31,0.18,0.23,0.17,0.14,0.17,0.36,0.44,0.19,-0.01,0.27,0.3,0.47,0.24,0.16,0.33,"1921-1950"
1945,0.11,-0.06,0.1,0.29,0.08,0.08,0.06,0.28,0.2,0.24,0.09,-0.21,0.1,0.12,0.01,0.15,0.14,0.18,"1921-1950"
1946,0.34,0.09,0.12,0.32,0.03,-0.05,-0.04,-0.1,-0.04,0.02,0.07,-0.45,0.03,0.05,0.07,0.16,-0.06,0.02,"1921-1950"
1947,-0.04,-0.04,0.29,0.22,0.06,0,-0.03,-0.04,-0.02,0.4,0.19,-0.05,0.08,0.04,-0.18,0.19,-0.03,0.19,"1921-1950"
1948,0.3,-0.15,-0.27,-0.03,0.17,0.04,0.01,0.03,-0.03,0.08,0.03,-0.39,-0.02,0.01,0.03,-0.04,0.03,0.03,"1921-1950"
1949,0.22,-0.09,0.04,-0.03,0,-0.2,-0.11,-0.04,-0.1,0.07,0.05,-0.14,-0.03,-0.05,-0.09,0.01,-0.12,0.01,"1921-1950"
1950,-0.29,-0.27,0.06,-0.22,-0.04,-0.07,-0.18,-0.2,-0.09,-0.06,-0.34,-0.13,-0.15,-0.15,-0.23,-0.07,-0.15,-0.16,"1921-1950"
1951,-0.36,-0.51,-0.18,0.07,0.17,-0.02,0.08,0.22,0.34,0.29,0.08,0.38,0.05,0,-0.33,0.02,0.09,0.23,"1951-1980"
1952,0.17,0.17,-0.22,0.18,0.15,0.16,0.14,0.07,0.14,-0.01,-0.21,0.01,0.06,0.09,0.24,0.04,0.12,-0.03,"1951-1980"
1953,0.24,0.37,0.26,0.41,0.25,0.25,0.22,0.18,0.17,0.27,0.09,0.23,0.24,0.23,0.21,0.3,0.22,0.18,"1951-1980"
1954,-0.24,0,-0.17,-0.01,-0.07,-0.04,-0.11,-0.01,0.09,0.13,0.34,-0.11,-0.02,0.01,0,-0.08,-0.05,0.19,"1951-1980"
1955,0.43,-0.12,-0.43,-0.24,-0.13,-0.1,-0.05,0.07,-0.01,0.12,-0.34,-0.28,-0.09,-0.08,0.07,-0.27,-0.03,-0.08,"1951-1980"
1956,-0.04,-0.31,-0.23,-0.26,-0.3,-0.2,-0.19,-0.28,-0.32,-0.28,-0.26,-0.11,-0.23,-0.25,-0.21,-0.26,-0.22,-0.29,"1951-1980"
1957,-0.13,-0.06,-0.1,-0.09,-0.06,0.12,0.11,0.16,0.13,0.06,0.12,0.24,0.04,0.01,-0.1,-0.08,0.13,0.1,"1951-1980"
1958,0.68,0.28,0.16,0.02,0.12,0.05,0.05,0.13,0.07,0.08,0.03,0.18,0.15,0.16,0.4,0.1,0.07,0.06,"1951-1980"
1959,0.24,0.16,0.33,0.22,0.04,0.14,0.05,0.1,0.13,-0.04,0.03,0.1,0.13,0.13,0.19,0.2,0.09,0.04,"1951-1980"
1960,0.15,0.42,-0.4,-0.13,0.03,0.18,0.09,0.11,0.12,0.05,-0.08,0.4,0.08,0.05,0.22,-0.16,0.13,0.03,"1951-1980"
1961,0.17,0.29,0.22,0.14,0.07,0.18,0.06,0.05,-0.03,-0.04,0.08,-0.17,0.09,0.13,0.29,0.14,0.09,0,"1951-1980"
1962,0.27,0.36,0.3,0.22,0.02,-0.13,0.1,0.03,-0.02,0.13,0.12,0.1,0.13,0.1,0.16,0.18,0,0.08,"1951-1980"
1963,0.08,0.5,-0.11,0.04,-0.05,-0.04,0.1,0.14,0.13,0.42,0.43,0.03,0.14,0.15,0.23,-0.04,0.07,0.33,"1951-1980"
1964,-0.04,-0.02,-0.32,-0.3,-0.1,-0.09,-0.13,-0.23,-0.28,-0.31,-0.21,-0.27,-0.19,-0.17,-0.01,-0.24,-0.15,-0.27,"1951-1980"
1965,-0.02,-0.37,-0.1,-0.26,-0.14,-0.2,-0.18,-0.2,-0.2,-0.02,0.04,-0.08,-0.14,-0.16,-0.22,-0.16,-0.2,-0.06,"1951-1980"
1966,-0.25,0.03,0,-0.22,-0.05,0.06,0.11,0.14,0.07,-0.1,0.02,-0.03,-0.02,-0.02,-0.1,-0.09,0.1,0,"1951-1980"
1967,-0.18,-0.37,0.23,0.05,0.21,-0.06,0.04,0.06,-0.02,0.3,0.04,0.02,0.03,0.02,-0.19,0.16,0.02,0.1,"1951-1980"
1968,-0.29,-0.16,0.44,0,-0.06,-0.04,-0.08,-0.08,-0.05,-0.01,-0.22,-0.33,-0.07,-0.04,-0.14,0.13,-0.07,-0.09,"1951-1980"
1969,-0.43,-0.46,-0.2,0.04,0.11,-0.04,0.06,0.05,0.04,0.03,0.15,0.31,-0.03,-0.08,-0.4,-0.02,0.02,0.07,"1951-1980"
1970,-0.03,0.27,-0.07,-0.02,0,0.02,-0.04,-0.05,-0.05,-0.2,0.01,-0.31,-0.04,0.01,0.18,-0.03,-0.02,-0.08,"1951-1980"
1971,-0.15,-0.21,-0.28,-0.2,-0.12,-0.14,-0.13,-0.16,-0.14,-0.16,-0.02,-0.14,-0.15,-0.17,-0.22,-0.2,-0.14,-0.11,"1951-1980"
1972,-0.54,-0.52,0.01,-0.12,-0.15,-0.1,-0.05,-0.08,-0.26,-0.04,-0.2,-0.04,-0.18,-0.18,-0.4,-0.09,-0.08,-0.17,"1951-1980"
1973,0.15,0.44,0.32,0.19,0.09,0.16,0.04,0.03,-0.09,-0.08,-0.1,-0.04,0.09,0.09,0.18,0.2,0.08,-0.09,"1951-1980"
1974,-0.26,-0.35,0.03,-0.1,-0.19,-0.18,-0.12,-0.11,-0.16,-0.23,-0.21,-0.27,-0.18,-0.16,-0.21,-0.09,-0.14,-0.2,"1951-1980"
1975,0.16,0.09,0.1,0.05,-0.02,-0.08,-0.06,-0.13,-0.08,-0.18,-0.3,-0.22,-0.06,-0.06,-0.01,0.04,-0.09,-0.19,"1951-1980"
1976,0.05,-0.12,-0.31,0.02,-0.26,-0.2,-0.27,-0.21,-0.12,-0.51,-0.32,-0.26,-0.21,-0.21,-0.1,-0.18,-0.22,-0.32,"1951-1980"
1977,-0.16,0.11,0.26,0.25,0.23,0.22,0.08,0.02,0.13,-0.02,0.27,0.01,0.12,0.09,-0.1,0.24,0.11,0.13,"1951-1980"
1978,0.16,0.04,0.21,0.07,-0.06,-0.14,-0.07,-0.14,-0.01,0,0.16,0.02,0.02,0.02,0.07,0.07,-0.12,0.05,"1951-1980"
1979,-0.05,-0.36,0.18,-0.17,0.01,0.07,0.05,0.04,0.19,0.23,0.24,0.54,0.08,0.04,-0.13,0.01,0.05,0.22,"1951-1980"
1980,0.21,0.4,0.07,0.15,0.25,0.18,0.13,0.09,0.1,0.11,0.2,0.09,0.17,0.2,0.38,0.16,0.14,0.14,"1951-1980"
1981,0.79,0.62,0.67,0.39,0.18,0.28,0.09,0.16,0.14,0.23,0.35,0.54,0.37,0.33,0.5,0.41,0.18,0.24,"1981-2010"
1982,-0.14,0.16,0.06,0.17,0.09,0.01,0.04,-0.07,0.06,0,-0.11,0.38,0.05,0.07,0.19,0.1,-0.01,-0.02,"1981-2010"
1983,0.55,0.35,0.42,0.06,0.05,0.1,0.2,0.25,0.25,0.12,0.49,0.11,0.25,0.27,0.42,0.18,0.19,0.29,"1981-2010"
1984,0.33,0.02,0.18,-0.07,0.23,0.09,0.09,0.05,-0.04,0.08,-0.1,-0.42,0.04,0.08,0.15,0.11,0.08,-0.02,"1981-2010"
1985,0.07,-0.3,0,-0.04,0.09,0,-0.08,-0.02,0.02,0.02,0.02,0.16,0,-0.05,-0.22,0.02,-0.03,0.02,"1981-2010"
1986,0.36,0.31,0.26,0.15,0.19,0.14,-0.02,0.04,-0.02,0.09,0.03,0.06,0.13,0.14,0.28,0.2,0.05,0.03,"1981-2010"
1987,0.24,0.5,0,0.07,0.23,0.16,0.25,0.27,0.39,0.22,0.1,0.5,0.25,0.21,0.27,0.1,0.23,0.24,"1981-2010"
1988,0.59,0.46,0.47,0.44,0.43,0.4,0.42,0.26,0.26,0.23,0.06,0.42,0.37,0.38,0.52,0.45,0.36,0.18,"1981-2010"
1989,0.08,0.39,0.45,0.32,0.23,0.24,0.32,0.26,0.23,0.25,0.11,0.33,0.27,0.28,0.3,0.33,0.27,0.2,"1981-2010"
1990,0.47,0.54,1.16,0.71,0.5,0.48,0.33,0.41,0.42,0.48,0.46,0.38,0.53,0.52,0.45,0.79,0.4,0.45,"1981-2010"
1991,0.59,0.57,0.45,0.56,0.33,0.47,0.43,0.35,0.35,0.29,0.32,0.2,0.41,0.42,0.51,0.45,0.42,0.32,"1981-2010"
1992,0.6,0.5,0.54,0.15,0.19,0.04,-0.1,-0.07,-0.18,-0.17,-0.09,0.21,0.13,0.13,0.43,0.29,-0.04,-0.15,"1981-2010"
1993,0.39,0.52,0.39,0.23,0.32,0.22,0.12,0.02,-0.07,0.12,-0.21,0.22,0.19,0.19,0.37,0.31,0.12,-0.05,"1981-2010"
1994,0.33,-0.05,0.49,0.48,0.39,0.41,0.33,0.32,0.33,0.54,0.5,0.36,0.37,0.36,0.17,0.45,0.36,0.46,"1981-2010"
1995,0.75,1.19,0.59,0.71,0.41,0.5,0.37,0.53,0.43,0.6,0.57,0.26,0.58,0.58,0.76,0.57,0.47,0.53,"1981-2010"
1996,0.26,0.54,0.32,0.17,0.35,0.25,0.29,0.18,0.03,0.04,0.35,0.35,0.26,0.25,0.35,0.28,0.24,0.14,"1981-2010"
1997,0.34,0.59,0.74,0.49,0.42,0.49,0.41,0.48,0.51,0.63,0.59,0.51,0.52,0.5,0.43,0.55,0.46,0.58,"1981-2010"
1998,0.62,1.04,0.72,0.87,0.66,0.72,0.75,0.72,0.61,0.53,0.48,0.73,0.7,0.69,0.72,0.75,0.73,0.54,"1981-2010"
1999,0.59,1,0.29,0.53,0.36,0.34,0.35,0.3,0.4,0.39,0.53,0.66,0.48,0.49,0.77,0.39,0.33,0.44,"1981-2010"
2000,0.38,0.89,0.83,0.88,0.55,0.44,0.41,0.47,0.36,0.29,0.19,0.27,0.5,0.53,0.64,0.75,0.44,0.28,"1981-2010"
2001,0.56,0.45,0.75,0.59,0.69,0.51,0.63,0.68,0.56,0.6,0.97,0.65,0.64,0.6,0.43,0.68,0.61,0.71,"1981-2010"
2002,1.01,1.14,1.11,0.51,0.52,0.68,0.66,0.55,0.62,0.53,0.78,0.42,0.71,0.73,0.94,0.71,0.63,0.65,"1981-2010"
2003,0.92,0.56,0.66,0.61,0.72,0.54,0.68,0.86,0.78,0.98,0.66,0.98,0.75,0.7,0.64,0.66,0.69,0.81,"1981-2010"
2004,0.66,0.91,0.86,0.7,0.52,0.47,0.5,0.55,0.59,0.7,0.98,0.44,0.66,0.7,0.85,0.69,0.5,0.76,"1981-2010"
2005,0.94,0.72,0.95,0.93,0.77,0.78,0.75,0.69,0.9,0.95,1.05,0.83,0.85,0.82,0.7,0.88,0.74,0.97,"1981-2010"
2006,0.65,0.95,0.78,0.59,0.76,0.81,0.69,0.69,0.82,0.95,0.95,1.15,0.82,0.79,0.81,0.71,0.73,0.91,"1981-2010"
2007,1.45,0.89,0.93,1.06,0.71,0.65,0.65,0.73,0.67,0.83,0.82,0.77,0.85,0.88,1.17,0.9,0.67,0.77,"1981-2010"
2008,0.33,0.59,1.14,0.65,0.61,0.61,0.6,0.58,0.57,0.86,0.96,0.65,0.68,0.69,0.56,0.8,0.6,0.8,"1981-2010"
2009,0.82,0.69,0.58,0.7,0.65,0.66,0.69,0.72,0.85,0.79,0.84,0.67,0.72,0.72,0.72,0.65,0.69,0.82,"1981-2010"
2010,0.8,0.94,1.1,1.14,0.94,0.84,0.89,0.86,0.7,0.89,1.2,0.51,0.9,0.91,0.8,1.06,0.86,0.93,"1981-2010"
2011,0.62,0.56,0.89,0.83,0.65,0.76,0.71,0.71,0.73,0.9,0.66,0.87,0.74,0.71,0.56,0.79,0.73,0.76,NA
2012,0.65,0.59,0.69,1.05,0.96,0.94,0.85,0.76,0.86,0.91,0.97,0.45,0.81,0.84,0.7,0.9,0.85,0.91,NA
2013,0.85,0.78,0.82,0.67,0.77,0.78,0.69,0.74,0.71,0.83,1.13,0.85,0.8,0.77,0.69,0.75,0.73,0.89,NA
2014,0.98,0.72,1.2,1.09,0.9,0.81,0.77,0.91,0.84,0.93,0.81,1.1,0.92,0.9,0.85,1.06,0.83,0.86,NA
2015,1.2,1.19,1.32,1.02,1.05,1.06,0.92,1.01,1.18,1.29,1.37,1.54,1.18,1.14,1.16,1.13,1,1.28,NA
2016,1.56,1.93,1.89,1.46,1.12,1.13,1.05,1.12,1.23,1.03,1.12,1.04,1.31,1.35,1.68,1.49,1.1,1.13,NA
2017,1.38,1.51,1.51,1.19,0.93,0.93,0.98,1.02,1,1.04,1.22,1.37,1.17,1.15,1.31,1.21,0.98,1.09,NA
2018,1.13,1.23,1.17,0.97,1,0.86,0.93,0.9,0.98,1.23,0.97,1.1,1.04,1.06,1.24,1.05,0.9,1.06,NA
2019,1.19,1.11,1.55,1.25,1.02,1.2,1.03,1.11,1.22,1.28,1.18,1.4,1.21,1.19,1.13,1.27,1.11,1.23,NA
2020,1.59,1.7,1.67,1.4,1.27,1.14,1.1,1.12,1.19,1.21,1.59,1.18,1.35,1.36,1.56,1.44,1.12,1.33,NA
2021,1.25,0.96,1.2,1.13,1.05,1.21,1.08,1.03,1.05,1.3,1.29,1.17,1.14,1.14,1.13,1.13,1.1,1.21,NA
2022,1.24,1.16,1.41,1.09,1.02,1.13,1.07,1.17,1.15,1.31,1.1,1.06,1.16,1.17,1.19,1.17,1.12,1.19,NA
2023,1.3,1.3,1.64,1.02,1.13,1.2,1.45,1.57,1.67,1.88,1.98,1.85,1.5,1.43,1.22,1.26,1.41,1.84,NA
2024,1.68,1.93,1.77,1.79,1.45,1.54,1.42,1.43,1.58,1.73,1.89,1.7,1.66,1.67,1.82,1.67,1.46,1.73,NA
2025,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
